flavor-1,flavor-2,flavor-3
american nuts,blackcurrant,butterscotch
american nuts,butterscotch,vanilla
butterscotch,vanilla,blackcurrant
chocolate,cookies n' cream,blackcurrant
butterscotch,chocolate,vanilla
pistachio,butterscotch,american nuts
butterscotch,chocolate,american nuts
butterscotch,chocolate,blackcurrant
cookies n' cream,butterscotch,chocolate
blackcurrant,cookies n' cream,american nuts
chocolate,cookies n' cream,butterscotch
cookies n' cream,blackcurrant,american nuts
chocolate,butterscotch,blackcurrant
american nuts,butterscotch,blackcurrant
american nuts,cookies n' cream,butterscotch
butterscotch,american nuts,vanilla
american nuts,chocolate,blackcurrant
butterscotch,cookies n' cream,blackcurrant
strawberry,butterscotch,vanilla
chocolate,butterscotch,vanilla
chocolate,american nuts,butterscotch
butterscotch,chocolate,blackcurrant
butterscotch,vanilla,pistachio
vanilla,butterscotch,pistachio
butterscotch,vanilla,chocolate
butterscotch ,chocolate ,blackcurrant 
chocolate,blueberry,mango
chocolate,mango,vanilla
mint chocolate,cookie & cream,orea 
butterscotch ,chocolate ,vanilla 
butterscotch,choco brownie,roasted almond
chocolate ,pista,butterscotch
blackcurrant,butterscotch,black forest
darkchocolate,m&m,cake
butterscotch,chocolate,mango
cookie,watermelon,lemon
black currant,chocolate,dark forest
chocolate,vanilla yogurt,strawberry
black forest,oreo,mango
banana,cookie,hazelnut
mix fruit,butterscotch,chocolate
dark chocolate,vanilla ,honey almond
candy,chocolate chip,lemon
black forest,black currant,vanilla
mint,m&m,orange
guava,sitaphal,grape
white chocolate,strawberry,vanilla
vanilla,grape,grape sherbet
banana,choco bar,brownie
creamstone,brownie,grape
dutch apple,rum raisin,cherry sherbet
cookie and cream,oreo,sitaphal
vanilla,chocolate,butterscotch
honey,nuts ,dry fruits
grape,nuts and creme,vanilla
belgium chocolate,chocolate yogurt,raspberry
vanilla,strawberry,oreo
strawberry,vanilla,nuts and creme
butterscotch,chocolate,vanilla
butterscotch,kesar pista,chocolate
vanilla,butterscotch,chocolate
